Species 	MARP1	MARP2	MARP3	MARP4	MARP5	ABRP1	ABRP2	ABRP3	ABRP4	ABRP5	MAIP4	MAIP5	JUNP4	JUNP5	SETP4	SETP5	OUTP5	NOVP5	DEZP5	MAIP1	JUNP1	SETP1	OUTP1	OUTP3	OUTP4	NOVP1	DEZP1	MAIP2	MAIP3	JUNP2	JUNP3	SETP2	SETP3	OUTP2	NOVP2	NOVP3	NOVP4	DEZP2	DEZP3	DEZP4
Aphanocapsa elachista	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9626,48	0	0	0	0	0	0	0
Aphanocapsa koordersii	0	0	0	0	0	0	0	0	0	0	0	0	0	24066,2	0	0	9626,48	0	0	0	0	0	0	2406,62	0	0	0	0	0	7219,86	0	2406,62	0	0	0	0	7219,86	0	0	0
Nostoc sphaericum 	33692,68	26472,82	12033,1	7219,86	7219,86	0	4813,24	0	7219,86	0	0	19252,96	12033,1	9626,48	0	0	0	0	0	2406,62	4813,24	0	0	0	0	0	0	0	4813,24	9626,48	24066,2	2406,62	0	0	0	0	0	0	0	0
Dolichospermum planctonicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60165,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Merismopedia punctata	0	0	0	0	0	0	0	7219,86	0	2406,62	7219,86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microcystis aeruginosa	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	4813,24	0	0	0	0	0	4813,24	4813,24	31286,06	0	2406,62	0	0	0	0	0
Microcystis protocystis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4813,24	0	0	0	0	0	0	0
Oscillatoria limosa	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Planktolyngbya contorta	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	2406,62	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0
Spirulina sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9626,48	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0
Peridinium sp. 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Strombomonas acuminata	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Strombomonas caudata	0	0	0	0	0	0	0	0	16846,34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Strombomonas gibberosa	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Strombomonas treubii	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trachelomonas abrupta	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trachelomonas caudata	0	0	0	0	0	0	0	2406,62	4813,24	0	7219,86	0	2406,62	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9626,48	2406,62	0	0	0	0	0	0	0	0	0
Trachelomonas elliptica	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trachelomonas scabra	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trachelomonas volvocionopsis f. punctata	0	0	0	0	0	0	0	0	4813,24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
